Time (s),Power (W)
1204,571.1454694
1205,144.4998657
1206,481.0551797
1207,149.8055734
1208,-436.7805271
1209,879.6995537
1210,2292.370933
1211,2893.122325
1212,3067.651008
1213,1740.235877
1214,1771.322722
1215,633.6413426
1216,1042.898643
1217,1084.717127
1218,428.0155804
1219,-257.8373205
1220,204.9162951
1221,194.1845834
1222,610.4923064
1223,753.3889442
1224,761.3743879
1225,191.8996771
1226,-206.7966186
1227,-662.0315341
1228,-2186.069535
1229,-355.681609
1230,459.1826955
1231,1336.289933
1232,239.8893919
1233,-154.8335032
1234,-1031.88509
1235,-2696.336168
1236,-2098.031959
1237,-2678.186032
1238,-3601.338807
1239,-2211.127081
1240,-2000.391602
1241,-1469.322021
1242,-540.0666941
1243,-434.2545225
1244,-42.65901072
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,53.67696929
1253,-41.85433013
1254,39.38347567
1255,84.4836376
1256,51.98127479
1257,93.69417195
1258,327.0561879
1259,359.5015083
1260,602.1559221
1261,1199.88526
1262,1527.540899
1263,1867.163351
1264,167.2688625
1265,-1394.98933
1266,-934.1706056
1267,-491.0013068
1268,1384.741988
1269,2063.813201
1270,3083.989769
1271,3594.704586
1272,3834.148992
1273,3229.902388
1274,2548.715395
1275,1430.869347
1276,1516.122347
1277,762.2229798
1278,893.4343347
1279,1503.134815
1280,1332.972645
1281,101.7488559
1282,-696.8794517
1283,-359.769387
1284,-249.8316765
1285,479.5384371
1286,1157.761435
1287,1161.282221
1288,1460.71976
1289,12.75090587
1290,392.655696
1291,669.8189002
1292,1753.43104
1293,2163.366426
1294,1375.7436
1295,133.469932
1296,296.8497127
1297,529.4672331
1298,2811.065945
1299,3441.867858
1300,2451.132948
1301,1999.084302
1302,81.85380636
1303,-222.7832909
1304,-1326.077384
1305,-5572.399116
1306,-5234.46423
1307,-5237.415431
1308,-5147.192496
1309,-4276.441287
1310,-3359.945364
1311,-2345.736768
1312,-1374.574495
1313,-239.1832876
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,237.2126178
1339,1174.328665
1340,1931.923189
1341,2693.028223
1342,2301.230798
1343,3029.952197
1344,2846.86997
1345,2179.301875
1346,1441.907713
1347,1098.809153
1348,2201.274188
1349,2087.31939
1350,1444.845485
1351,753.5773494
1352,-1043.219281
1353,-1020.685296
1354,-595.8582817
1355,-155.8464127
1356,129.9441305
1357,-223.3253663
1358,-2098.978435
1359,-1982.216702
1360,-1519.419965
1361,-867.5200689
1362,-1285.086638
1363,-3062.830743
1364,-3127.543513
1365,-2606.201222
1366,-1684.916195
1367,-559.9187157
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,574.7004521
1391,1399.912654
1392,2159.056937
1393,3006.002954
1394,3619.821819
1395,3544.865121
1396,232.1715191
1397,843.0103946
1398,4339.107229
1399,2710.418114
1400,2353.711298
